query,trial,cpu_percent
patients_by_gender,0,52.6
patients_by_gender,1,51.4
patients_by_gender,2,46.7
patients_by_gender,3,45.7
patients_by_gender,4,46.4
patients_by_gender,5,43.0
patients_by_gender,6,42.8
patients_by_gender,7,42.2
patients_by_gender,8,39.2
patients_by_gender,9,36.8
patients_by_gender,10,36.9
patients_by_gender,11,36.8
patients_by_gender,12,36.8
patients_by_gender,13,36.7
patients_by_gender,14,36.7
patients_by_gender,15,34.0
patients_by_gender,16,42.8
patients_by_gender,17,37.9
patients_by_gender,18,29.1
patients_by_gender,19,31.6
patients_by_gender,20,28.6
patients_by_gender,21,31.1
patients_by_gender,22,31.7
patients_by_gender,23,32.0
patients_by_gender,24,33.0
patients_by_gender,25,29.9
patients_by_gender,26,26.8
patients_by_gender,27,29.4
patients_by_gender,28,38.3
patients_by_gender,29,18.6
patients_by_gender,30,14.5
patients_by_gender,31,13.5
patients_by_gender,32,13.2
patients_by_gender,33,12.4
patients_by_gender,34,12.5
patients_by_gender,35,12.4
patients_by_gender,36,12.3
patients_by_gender,37,12.6
patients_by_gender,38,12.8
patients_by_gender,39,12.6
patients_by_gender,40,21.5
patients_by_gender,41,15.6
patients_by_gender,42,12.7
patients_by_gender,43,16.0
patients_by_gender,44,21.9
patients_by_gender,45,15.1
patients_by_gender,46,14.2
patients_by_gender,47,14.0
patients_by_gender,48,13.4
patients_by_gender,49,12.9
patients_by_gender,50,12.8
patients_by_gender,51,12.6
patients_by_gender,52,12.3
patients_by_gender,53,12.5
patients_by_gender,54,13.0
patients_by_gender,55,12.8
patients_by_gender,56,13.5
patients_by_gender,57,13.6
patients_by_gender,58,13.4
patients_by_gender,59,12.7
patients_by_gender,60,12.8
patients_by_gender,61,12.8
patients_by_gender,62,12.6
patients_by_gender,63,12.7
patients_by_gender,64,12.3
patients_by_gender,65,16.5
patients_by_gender,66,13.3
patients_by_gender,67,12.5
patients_by_gender,68,12.5
patients_by_gender,69,13.6
patients_by_gender,70,14.4
patients_by_gender,71,15.0
patients_by_gender,72,39.2
patients_by_gender,73,13.6
patients_by_gender,74,12.8
patients_by_gender,75,13.2
patients_by_gender,76,12.4
patients_by_gender,77,12.6
patients_by_gender,78,13.9
patients_by_gender,79,12.6
patients_by_gender,80,12.2
patients_by_gender,81,12.7
patients_by_gender,82,12.8
patients_by_gender,83,12.5
patients_by_gender,84,12.3
patients_by_gender,85,12.5
patients_by_gender,86,12.5
patients_by_gender,87,12.3
patients_by_gender,88,13.9
patients_by_gender,89,16.7
patients_by_gender,90,15.3
patients_by_gender,91,15.8
patients_by_gender,92,15.0
patients_by_gender,93,16.2
patients_by_gender,94,15.9
patients_by_gender,95,13.2
patients_by_gender,96,14.3
patients_by_gender,97,12.7
patients_by_gender,98,15.1
patients_by_gender,99,16.4
surgeries_by_type,0,19.0
surgeries_by_type,1,18.6
surgeries_by_type,2,18.9
surgeries_by_type,3,18.1
surgeries_by_type,4,18.3
surgeries_by_type,5,18.8
surgeries_by_type,6,18.7
surgeries_by_type,7,18.0
surgeries_by_type,8,17.9
surgeries_by_type,9,17.5
surgeries_by_type,10,18.4
surgeries_by_type,11,18.7
surgeries_by_type,12,19.1
surgeries_by_type,13,17.8
surgeries_by_type,14,18.3
surgeries_by_type,15,18.7
surgeries_by_type,16,18.5
surgeries_by_type,17,18.8
surgeries_by_type,18,19.0
surgeries_by_type,19,17.5
surgeries_by_type,20,17.6
surgeries_by_type,21,20.3
surgeries_by_type,22,18.5
surgeries_by_type,23,17.8
surgeries_by_type,24,18.3
surgeries_by_type,25,17.6
surgeries_by_type,26,24.0
surgeries_by_type,27,22.1
surgeries_by_type,28,19.0
surgeries_by_type,29,17.8
surgeries_by_type,30,17.8
surgeries_by_type,31,18.2
surgeries_by_type,32,17.7
surgeries_by_type,33,18.2
surgeries_by_type,34,18.5
surgeries_by_type,35,18.6
surgeries_by_type,36,18.5
surgeries_by_type,37,18.3
surgeries_by_type,38,18.5
surgeries_by_type,39,18.3
surgeries_by_type,40,17.4
surgeries_by_type,41,18.7
surgeries_by_type,42,18.8
surgeries_by_type,43,17.5
surgeries_by_type,44,19.0
surgeries_by_type,45,18.7
surgeries_by_type,46,18.6
surgeries_by_type,47,17.7
surgeries_by_type,48,17.3
surgeries_by_type,49,18.6
surgeries_by_type,50,17.5
surgeries_by_type,51,17.4
surgeries_by_type,52,18.4
surgeries_by_type,53,17.7
surgeries_by_type,54,18.4
surgeries_by_type,55,18.4
surgeries_by_type,56,18.4
surgeries_by_type,57,17.1
surgeries_by_type,58,18.7
surgeries_by_type,59,20.0
surgeries_by_type,60,18.2
surgeries_by_type,61,18.1
