query,trial,cpu_percent
surgeries_per_dept_per_month,0,12.0
surgeries_per_dept_per_month,1,8.0
surgeries_per_dept_per_month,2,7.1
surgeries_per_dept_per_month,3,7.5
surgeries_per_dept_per_month,4,6.5
surgeries_per_dept_per_month,5,7.5
surgeries_per_dept_per_month,6,6.5
surgeries_per_dept_per_month,7,6.9
surgeries_per_dept_per_month,8,7.4
surgeries_per_dept_per_month,9,6.9
surgeries_per_dept_per_month,10,8.0
surgeries_per_dept_per_month,11,7.6
surgeries_per_dept_per_month,12,7.3
surgeries_per_dept_per_month,13,9.1
surgeries_per_dept_per_month,14,10.1
surgeries_per_dept_per_month,15,7.2
surgeries_per_dept_per_month,16,7.2
surgeries_per_dept_per_month,17,7.0
surgeries_per_dept_per_month,18,6.5
surgeries_per_dept_per_month,19,7.4
surgeries_per_dept_per_month,20,7.2
surgeries_per_dept_per_month,21,7.8
surgeries_per_dept_per_month,22,7.2
surgeries_per_dept_per_month,23,7.8
surgeries_per_dept_per_month,24,7.6
surgeries_per_dept_per_month,25,8.2
surgeries_per_dept_per_month,26,7.1
surgeries_per_dept_per_month,27,7.7
surgeries_per_dept_per_month,28,7.1
surgeries_per_dept_per_month,29,7.6
surgeries_per_dept_per_month,30,7.7
surgeries_per_dept_per_month,31,7.5
surgeries_per_dept_per_month,32,8.7
surgeries_per_dept_per_month,33,7.4
surgeries_per_dept_per_month,34,7.6
surgeries_per_dept_per_month,35,7.1
surgeries_per_dept_per_month,36,6.6
surgeries_per_dept_per_month,37,7.9
surgeries_per_dept_per_month,38,7.7
surgeries_per_dept_per_month,39,6.6
surgeries_per_dept_per_month,40,7.2
surgeries_per_dept_per_month,41,6.8
surgeries_per_dept_per_month,42,7.4
surgeries_per_dept_per_month,43,7.1
surgeries_per_dept_per_month,44,7.4
surgeries_per_dept_per_month,45,7.4
surgeries_per_dept_per_month,46,6.8
surgeries_per_dept_per_month,47,7.5
surgeries_per_dept_per_month,48,7.3
surgeries_per_dept_per_month,49,7.0
surgeries_per_dept_per_month,50,6.4
