query,trial,cpu_percent
doctors_per_dept,0,17.8
doctors_per_dept,1,20.5
doctors_per_dept,2,21.1
doctors_per_dept,3,20.5
doctors_per_dept,4,21.3
doctors_per_dept,5,20.2
doctors_per_dept,6,19.7
doctors_per_dept,7,20.2
doctors_per_dept,8,21.4
doctors_per_dept,9,20.5
doctors_per_dept,10,19.1
doctors_per_dept,11,20.5
doctors_per_dept,12,21.4
doctors_per_dept,13,20.5
doctors_per_dept,14,21.4
doctors_per_dept,15,20.3
doctors_per_dept,16,19.1
doctors_per_dept,17,19.4
doctors_per_dept,18,19.7
doctors_per_dept,19,18.9
doctors_per_dept,20,19.6
doctors_per_dept,21,18.7
doctors_per_dept,22,21.8
doctors_per_dept,23,20.5
doctors_per_dept,24,19.4
doctors_per_dept,25,19.3
doctors_per_dept,26,19.8
doctors_per_dept,27,19.3
doctors_per_dept,28,19.3
doctors_per_dept,29,19.1
doctors_per_dept,30,19.2
doctors_per_dept,31,19.7
doctors_per_dept,32,21.4
doctors_per_dept,33,21.9
doctors_per_dept,34,20.1
doctors_per_dept,35,16.7
doctors_per_dept,36,19.4
doctors_per_dept,37,19.6
doctors_per_dept,38,20.1
doctors_per_dept,39,19.5
doctors_per_dept,40,18.5
doctors_per_dept,41,19.2
doctors_per_dept,42,20.5
doctors_per_dept,43,19.2
doctors_per_dept,44,18.7
doctors_per_dept,45,19.3
doctors_per_dept,46,19.1
doctors_per_dept,47,16.3
doctors_per_dept,48,20.4
doctors_per_dept,49,21.4
doctors_per_dept,50,19.0
doctors_per_dept,51,21.5
doctors_per_dept,52,19.6
doctors_per_dept,53,19.0
doctors_per_dept,54,19.0
doctors_per_dept,55,20.0
doctors_per_dept,56,21.7
doctors_per_dept,57,23.7
doctors_per_dept,58,21.1
doctors_per_dept,59,21.0
doctors_per_dept,60,19.5
doctors_per_dept,61,19.3
doctors_per_dept,62,20.3
doctors_per_dept,63,20.0
doctors_per_dept,64,20.3
doctors_per_dept,65,21.2
doctors_per_dept,66,19.8
doctors_per_dept,67,18.9
doctors_per_dept,68,18.9
doctors_per_dept,69,18.9
doctors_per_dept,70,20.0
doctors_per_dept,71,20.3
doctors_per_dept,72,23.5
doctors_per_dept,73,19.4
doctors_per_dept,74,22.1
doctors_per_dept,75,21.1
doctors_per_dept,76,19.5
doctors_per_dept,77,19.6
doctors_per_dept,78,20.9
doctors_per_dept,79,21.3
doctors_per_dept,80,20.5
doctors_per_dept,81,20.4
doctors_per_dept,82,22.3
doctors_per_dept,83,21.7
doctors_per_dept,84,20.8
doctors_per_dept,85,20.4
doctors_per_dept,86,19.6
doctors_per_dept,87,22.3
doctors_per_dept,88,35.2
doctors_per_dept,89,20.6
doctors_per_dept,90,21.4
doctors_per_dept,91,22.6
doctors_per_dept,92,23.6
doctors_per_dept,93,23.3
doctors_per_dept,94,20.7
doctors_per_dept,95,20.6
doctors_per_dept,96,20.2
doctors_per_dept,97,22.8
doctors_per_dept,98,20.9
doctors_per_dept,99,21.9
appointments_per_patient,0,35.7
appointments_per_patient,1,27.4
appointments_per_patient,2,26.6
appointments_per_patient,3,27.8
appointments_per_patient,4,27.8
appointments_per_patient,5,26.4
appointments_per_patient,6,29.0
appointments_per_patient,7,26.6
appointments_per_patient,8,27.7
appointments_per_patient,9,27.2
appointments_per_patient,10,27.0
appointments_per_patient,11,26.1
appointments_per_patient,12,27.0
appointments_per_patient,13,28.1
appointments_per_patient,14,27.8
appointments_per_patient,15,26.9
appointments_per_patient,16,27.1
appointments_per_patient,17,27.1
appointments_per_patient,18,28.3
appointments_per_patient,19,27.6
appointments_per_patient,20,26.4
appointments_per_patient,21,27.8
appointments_per_patient,22,28.0
appointments_per_patient,23,28.3
appointments_per_patient,24,28.8
appointments_per_patient,25,25.9
appointments_per_patient,26,26.4
appointments_per_patient,27,26.9
appointments_per_patient,28,26.7
appointments_per_patient,29,27.0
appointments_per_patient,30,27.5
appointments_per_patient,31,28.3
appointments_per_patient,32,28.0
appointments_per_patient,33,27.6
appointments_per_patient,34,26.4
appointments_per_patient,35,27.3
appointments_per_patient,36,27.7
appointments_per_patient,37,27.2
appointments_per_patient,38,27.8
appointments_per_patient,39,27.8
appointments_per_patient,40,27.1
appointments_per_patient,41,26.6
appointments_per_patient,42,27.6
appointments_per_patient,43,25.5
appointments_per_patient,44,27.7
appointments_per_patient,45,28.0
appointments_per_patient,46,27.4
appointments_per_patient,47,26.5
appointments_per_patient,48,27.9
appointments_per_patient,49,27.1
appointments_per_patient,50,26.7
appointments_per_patient,51,28.9
appointments_per_patient,52,28.9
appointments_per_patient,53,27.1
appointments_per_patient,54,27.4
appointments_per_patient,55,28.5
appointments_per_patient,56,28.2
appointments_per_patient,57,29.3
appointments_per_patient,58,12.7
appointments_per_patient,59,27.7
appointments_per_patient,60,27.7
appointments_per_patient,61,29.8
appointments_per_patient,62,28.4
appointments_per_patient,63,28.4
appointments_per_patient,64,23.1
appointments_per_patient,65,27.6
appointments_per_patient,66,25.8
appointments_per_patient,67,30.8
appointments_per_patient,68,29.0
appointments_per_patient,69,24.9
appointments_per_patient,70,20.4
appointments_per_patient,71,29.8
appointments_per_patient,72,25.1
appointments_per_patient,73,24.3
appointments_per_patient,74,28.6
appointments_per_patient,75,28.5
appointments_per_patient,76,28.4
appointments_per_patient,77,27.5
appointments_per_patient,78,29.1
appointments_per_patient,79,22.3
appointments_per_patient,80,29.4
appointments_per_patient,81,27.0
appointments_per_patient,82,28.4
appointments_per_patient,83,28.6
appointments_per_patient,84,27.2
appointments_per_patient,85,27.9
appointments_per_patient,86,28.0
appointments_per_patient,87,27.1
appointments_per_patient,88,27.5
appointments_per_patient,89,27.7
appointments_per_patient,90,27.0
appointments_per_patient,91,26.7
appointments_per_patient,92,27.2
appointments_per_patient,93,27.1
appointments_per_patient,94,27.0
appointments_per_patient,95,27.1
appointments_per_patient,96,26.4
appointments_per_patient,97,27.3
appointments_per_patient,98,28.8
appointments_per_patient,99,27.1
